id,name,url,test_type,duration_display,adaptive,remote_testing,languages,job_levels,description
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K,6 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability."
4160,Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K,7 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing."
4153,Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K,11 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation."
4021,AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K,9 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing."
4030,Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K,7 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce."
4011,Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K,9 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase."
4073,Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K,5 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration."
4075,Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,K,5 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language."
4022,Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,K,6 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations."
4115,Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,K,6 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin."
4023,Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,K,8 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation."
4017,ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,K,13 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services."
3786,ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,K,30 minutes,True,True,English (USA),Mid-Professional; Professional Individual Contributor,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Feature"
4219,Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,E,Variable,False,True,English International; English (USA),Director; Entry-Level; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exe"
3980,Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,S,20 minutes,False,True,English (USA),Mid-Professional,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employm"
3981,Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,S,30 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks."
3984,Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,S,45 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City
3982,Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,S,60 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
3983,Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,S,60 minutes,False,True,English (USA),Professional Individual Contributor; Mid-Professional,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
4222,Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,S,30 minutes,False,True,English (USA),Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor; Manager,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored."
3985,Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,S,60 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City
4229,Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,S,60 minutes,False,True,English (USA),Entry-Level; Graduate; Manager; Mid-Professional; Professional Individual Contributor,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.
4026,Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,K,8 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client."
4025,Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,K,13 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting."
3988,Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,K,6 minutes,False,True,English (USA),Professional Individual Contributor; Graduate; Mid-Professional,Multi choice test that measures the candidate's basic understanding of Biology.
4206,Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"K,S",30 minutes,False,True,English (USA),Entry-Level,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulat"
4149,Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,K,10 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing."
4161,Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,K,8 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism."
4036,Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,K,5 minutes,False,True,English (USA),Graduate; Professional Individual Contributor; Mid-Professional,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis."
4037,BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,K,16 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration."
244,Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,K,24 minutes,True,True,English (USA),Entry-Level; Front Line Manager; Manager; Mid-Professional; Professional Individual Contributor,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electro"
536,Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,K,35 minutes,False,True,English (USA),,"This test measures the candidate's knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic "
4038,C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,K,10 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory."
4039,C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,K,9 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading."
4122,C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,K,10 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.
4077,Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,K,4 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them."
4044,Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,K,12 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics."
4012,Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,K,13 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations."
4024,Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,K,9 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring."
4150,Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,K,10 minutes,False,True,English (USA),Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering."
4045,Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,K,8 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds."
4046,COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,K,10 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing."
4104,Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,K,12 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication."
4189,Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,S,15 minutes,False,True,English (USA),Entry-Level,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.
4296,Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,S,11 minutes,False,True,English (USA),,This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they res
4034,Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,K,13 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency."
4032,Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,K,13 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class."
3458,Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,"K,S",5 minutes,True,True,English (USA); English (Australia); English (Canada); English International; English (South Africa),Entry-Level,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.
4052,CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,K,8 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
4050,Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,K,7 minutes,False,True,English (USA),Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
3933,Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"B,S",20 minutes,False,True,French (Canada); Portuguese (Brazil); Dutch; Italian; Spanish; French; Latin American Spanish; Chinese Simplified; English (Australia); English International; English (USA),,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; "
3931,Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"B,P,S",30 minutes,False,True,French (Canada); Italian; French; Dutch; Spanish; Portuguese (Brazil); Chinese Simplified; English (Australia); Latin American Spanish; English (USA); English International,,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opp"
4053,Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,K,9 minutes,False,True,English (USA),Manager; Mid-Professional; Professional Individual Contributor; Supervisor,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management."
4186,Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,S,4 minutes,False,True,English (USA),Entry-Level,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.
778,Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,K,5 minutes,False,True,English (USA),Professional Individual Contributor; Mid-Professional; Front Line Manager; Entry-Level,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy."
779,Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,K,5 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor; Entry-Level; Front Line Manager,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the"
785,Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,K,3 minutes,False,True,English (USA),Entry-Level; Front Line Manager; Mid-Professional; Professional Individual Contributor,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.
4013,Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,K,14 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions."
56,Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,K,25 minutes,True,True,English (USA),Mid-Professional; Professional Individual Contributor,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On L"
731,Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,P,10 minutes,False,True,Portuguese (Brazil); Chinese Traditional; Danish; Dutch; Finnish; French; German; Icelandic; Chinese Simplified; English International; Italian; Latin American Spanish; Polish; Swedish; English (USA); Norwegian; Russian,Entry-Level,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors. Note: Turkish [end June 2012] and Romanian [end May 2013] are"
4162,Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,K,3 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology."
4101,Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,K,8 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support."
4003,Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,K,7 minutes,False,True,English (USA),Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.
4221,Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,P,Untimed/Variable,False,True,,Director; Entry-Level; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their"
4239,Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,P,Untimed/Variable,False,True,,Entry-Level; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Supervisor; Director,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their "
4059,Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,K,10 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm."
4060,Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,K,11 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries."
4062,Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,K,17 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security."
1102,DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,P,Untimed/Variable,False,True,Portuguese (Brazil); Dutch; Finnish; French; Latin American Spanish; Norwegian; Swedish; English (USA); English International; Chinese Simplified; Chinese Traditional; Danish; German; Icelandic; Italian; Russian,,DSI v1.1 Interpretation Report
4148,Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,K,11 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data."
4009,Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,K,13 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade."
4001,Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,K,14 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics."
4031,Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,K,8 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics."
4002,Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,K,15 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering."
4000,Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,K,18 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics."
4139,Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,K,7 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI."
4180,English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,0 minutes,False,True,English (USA),Entry-Level,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
4063,Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,K,4 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency."
